0,20,18,19
1,22,19,21
2,24,21,23
3,26,23,25
4,28,25,27
5,30,27,29
6,32,29,31
7,34,31,33
8,36,33,35
9,38,35,37
10,40,37,39
11,42,39,41
12,44,41,43
13,46,43,45
14,48,45,47
15,50,47,49
16,52,49,51
17,54,51,53
20,57,55,56
22,59,56,58
24,61,58,60
26,63,60,62
28,65,62,64
30,67,64,66
32,69,66,68
34,71,68,70
36,73,70,72
38,75,72,74
40,77,74,76
42,79,76,78
44,81,78,80
46,83,80,82
48,85,82,84
50,87,84,86
52,89,86,88
54,510,88,512
57,92,90,91
59,94,91,93
61,96,93,95
63,98,95,97,
65,100,97,99
67,102,99,101
69,104,101,103
71,106,103,105
73,108,105,107
75,110,107,109
77,112,109,111
79,114,111,113
81,116,113,115
83,118,115,117
85,120,117,119
87,122,119,121
89,476,121,478
510,508,478,511
92,125,123,124
94,127,124,126
96,129,126,128
98,131,128,130
100,133,130,132
102,135,132,134
104,137,134,136
106,139,136,138
108,141,138,140
110,143,140,142
112,145,142,144
114,147,144,146
116,149,146,148
118,151,148,150
120,153,150,152
122,444,152,446
476,474,446,477
508,506,477,509
125,156,154,155
127,158,155,157
129,160,157,159
131,162,159,161
133,164,161,163
135,166,163,165
137,168,165,167
139,170,167,169
141,172,169,171
143,174,171,173
145,176,173,175
147,178,175,177
149,180,177,179
151,182,179,181
153,414,181,416
444,442,416,445
474,472,445,475
506,504,475,507
156,185,183,184
158,187,184,186
160,189,186,188
162,191,188,190
164,193,190,192
166,195,192,194
168,197,194,196
170,199,196,198
172,201,198,200
174,203,200,202
176,205,202,204
178,207,204,206
180,209,206,208
182,386,208,388
414,412,388,415
442,440,415,443
472,470,443,473
504,502,473,505
185,212,210,211
187,214,211,213
189,216,213,215
191,218,215,217
193,220,217,219
195,222,219,221
197,224,221,223
199,226,223,225
201,228,225,227
203,230,227,229
205,232,229,231
207,234,231,233
209,360,233,362
386,384,362,387
412,410,387,413
440,438,413,441
470,468,441,471
502,500,471,503
212,237,235,236
214,239,236,238
216,241,238,240
218,243,240,242
220,245,242,244
222,247,244,246
224,249,246,248
226,251,248,250
228,253,250,252
230,255,252,254
232,257,254,256
234,336,256,338
360,358,338,361
384,382,361,385
410,408,385,411
438,436,411,439
468,466,439,469
500,498,469,501
237,260,258,259
239,262,259,261
241,264,261,263
243,266,263,265
245,268,265,267
247,270,267,269
249,272,269,271
251,274,271,273
253,276,273,275
255,278,275,277
257,314,277,316
336,334,316,337
358,356,337,359
382,380,359,383
408,406,383,409
436,434,409,437
466,464,437,467
498,496,467,499
260,281,279,280
262,283,280,282
264,285,282,284
266,287,284,286
268,289,286,288
270,291,288,290
272,293,290,292
274,295,292,294
276,296,294,278
314,312,296,315
334,332,315,335
356,354,335,357
380,378,357,381
406,404,381,407
434,432,407,435
464,462,435,465
496,494,465,497
281,299,297,298
283,301,298,300
285,303,300,302
287,305,302,304
289,307,304,306
291,309,306,308
293,311,308,310
295,313,310,312
332,330,313,333
354,352,333,355
378,376,355,379
404,402,379,405
432,430,405,433
462,460,433,463
494,492,463,495
299,319,317,318
301,321,318,320
303,323,320,322
305,325,322,324
307,327,324,326
309,329,326,328
311,331,328,330
352,350,331,353
376,374,353,377
402,400,377,403
430,428,403,431
460,458,431,461
492,490,461,493
319,341,339,340
321,343,340,342
323,345,342,344
325,347,344,346
327,349,346,348
329,351,348,350
374,372,351,375
400,398,375,401
428,426,401,429
458,456,429,459
490,488,459,491
341,365,363,364
343,367,364,366
345,369,366,368
347,371,368,370
349,373,370,372
398,396,373,399
426,424,399,427
456,454,427,457
488,486,457,489
365,391,389,390
367,393,390,392
369,395,392,394
396,394,371,397
424,422,397,425
454,452,425,455
486,484,455,487
391,419,417,418
393,421,418,420
422,420,395,423
452,450,423,453
484,482,453,485
419,449,447,448
421,451,448,450
482,480,451,483
449,481,479,480
275,276,278
