0,10,8,9
1,12,9,11
2,14,11,13
3,16,13,15
4,18,15,17
5,20,17,19
6,22,19,21
7,24,21,23
10,27,25,26
12,29,26,28
14,31,28,30
16,33,30,32
18,35,32,34
20,37,34,36
22,39,36,38
24,105,38,107
27,42,40,41
29,44,41,43
31,46,43,45
33,48,45,47
35,50,47,49
37,52,49,51
39,91,51,93
105,103,93,106
42,55,53,54
44,57,54,56
46,59,56,58
48,61,58,60
50,63,60,62
52,79,62,81
91,89,81,92
103,101,92,104
55,66,64,65
57,68,65,67
59,70,67,69
61,71,69,63
79,77,71,80
89,87,80,90
101,99,90,102
66,74,72,73
68,76,73,75
70,78,75,77
87,85,78,88
99,97,88,100
74,84,82,83
76,86,83,85
97,95,86,98
84,96,94,95
60,61,63,999
